arr_delay,dep_delay,carrier,tailnum,origin,dest,distance,time
-18,-7,WN,N8527Q,LAX,ABQ,677,2022-01-24T20:35:00Z
-13,-4,OO,N287SY,LAX,SAN,109,2022-01-24T21:02:00Z
-23,-12,AA,N974UY,LAX,CLT,2125,2022-01-25T07:15:00Z
-30,-7,AA,N938AN,LAX,ORD,1744,2022-01-25T10:23:00Z
-3,-5,DL,N810DN,LAX,SLC,590,2022-01-25T11:10:00Z
-18,-7,QX,N639QX,LAX,SJC,308,2022-01-25T11:55:00Z
43,46,DL,N383DZ,LAX,SLC,590,2022-01-25T13:35:00Z
-23,-10,AA,N342PM,LAX,AUS,1242,2022-01-25T15:35:00Z
-2,-6,OO,N114SY,LAX,EUG,748,2022-01-25T16:25:00Z
-14,-4,OO,N287SY,LAX,PHX,370,2022-01-25T18:21:00Z
-12,-6,OO,N511SY,LAX,SEA,954,2022-01-25T20:55:00Z
-19,-1,OO,N789SK,LAX,SBA,89,2022-01-25T22:35:00Z
-6,-7,OO,N748EV,LAX,DEN,862,2022-01-26T08:11:00Z
-8,-4,OO,N507SY,LAX,ELP,715,2022-01-26T08:25:00Z
-19,-3,NK,N614NK,LAX,DFW,1235,2022-01-26T08:57:00Z
-24,-2,UA,N2243U,LAX,HNL,2556,2022-01-26T09:00:00Z
-19,-5,WN,N8535S,LAX,DEN,862,2022-01-26T09:25:00Z
-41,3,WN,N8327A,LAX,KOA,2504,2022-01-26T10:30:00Z
-17,-5,UA,N75428,LAX,DEN,862,2022-01-26T10:50:00Z
-20,-5,DL,N897DN,LAX,SLC,590,2022-01-26T11:10:00Z
-31,-6,DL,N843MH,LAX,JFK,2475,2022-01-26T11:35:00Z
-29,-18,B6,N981JT,LAX,JFK,2475,2022-01-26T12:41:00Z
-4,-5,WN,N8319F,LAX,PHX,370,2022-01-26T17:50:00Z
-26,-8,OO,N506SY,LAX,SMF,373,2022-01-26T22:15:00Z
-26,-8,UA,N12114,LAX,JFK,2475,2022-01-27T07:20:00Z
-26,-10,OO,N268SY,LAX,SMF,373,2022-01-27T08:00:00Z
-3,-3,WN,N551WN,LAX,ELP,715,2022-01-27T08:05:00Z
-34,-13,UA,N37527,LAX,BOS,2611,2022-01-27T08:20:00Z
-42,-10,HA,N385HA,LAX,HNL,2556,2022-01-27T09:55:00Z
-43,-7,WN,N8635F,LAX,SFO,337,2022-01-27T11:15:00Z
-11,-2,OO,N262SY,LAX,LAS,236,2022-01-27T12:00:00Z
-15,3,DL,N357DN,LAX,ATL,1947,2022-01-27T12:07:00Z
-29,-7,AA,N404AN,LAX,PHL,2402,2022-01-27T12:18:00Z
-11,3,OO,N290SY,LAX,OAK,337,2022-01-27T12:39:00Z
-23,-5,UA,N407UA,LAX,SFO,337,2022-01-27T16:20:00Z
-11,10,OO,N967SW,LAX,SMF,373,2022-01-27T18:45:00Z
8,0,WN,N8662F,LAX,MDW,1750,2022-01-27T18:50:00Z
-8,-5,AA,N795AN,LAX,MIA,2342,2022-01-27T23:59:00Z
-4,-1,WN,N8816Q,LAX,LAS,236,2022-01-28T06:00:00Z
3,-3,AA,N115NN,LAX,BOS,2611,2022-01-28T08:00:00Z
28,49,DL,N540US,LAX,LIH,2615,2022-01-28T13:21:00Z
-36,-1,AS,N448AS,LAX,FLL,2343,2022-01-28T14:15:00Z
-5,-5,WN,N259WN,LAX,DAL,1246,2022-01-28T14:20:00Z
-7,16,AA,N784AN,LAX,MIA,2342,2022-01-28T15:25:00Z
-3,0,AA,N722AN,LAX,MIA,2342,2022-01-28T22:05:00Z
68,0,AA,N404AN,LAX,PHL,2402,2022-01-29T06:46:00Z
-25,-7,OO,N724SK,LAX,ABQ,677,2022-01-29T07:00:00Z
-17,-7,OO,N148SY,LAX,PHX,370,2022-01-29T07:43:00Z
-3,15,OO,N291SY,LAX,SFO,337,2022-01-29T08:05:00Z
22,42,WN,N7850B,LAX,RNO,391,2022-01-29T08:25:00Z
-32,-7,HA,N390HA,LAX,HNL,2556,2022-01-29T09:55:00Z
-29,-7,OO,N403SY,LAX,STS,400,2022-01-29T11:30:00Z
-17,-5,WN,N8634A,LAX,DEN,862,2022-01-29T11:50:00Z
-29,-5,DL,N3762Y,LAX,SEA,954,2022-01-29T13:44:00Z
-12,-10,OO,N287SY,LAX,SFO,337,2022-01-30T06:20:00Z
172,177,AA,N718AN,LAX,MIA,2342,2022-01-30T06:20:00Z
5,1,DL,N676DL,LAX,MSP,1535,2022-01-30T06:25:00Z
-16,0,AA,N830AN,LAX,MIA,2342,2022-01-30T08:35:00Z
-8,-8,NK,N929NK,LAX,MSP,1535,2022-01-30T13:00:00Z
64,76,OO,N292SY,LAX,SFO,337,2022-01-30T13:02:00Z
2,13,OO,N917SW,LAX,MFR,630,2022-01-30T13:11:00Z
-7,-5,UA,N37507,LAX,DEN,862,2022-01-30T16:10:00Z
25,21,WN,N8557Q,LAX,BWI,2329,2022-01-30T16:55:00Z
-29,-7,AA,N756US,LAX,SAT,1211,2022-01-30T19:00:00Z
20,-7,OO,N507SY,LAX,PDX,834,2022-01-30T21:05:00Z
23,10,UA,N12012,LAX,EWR,2454,2022-01-30T21:30:00Z
16,13,DL,N390DN,LAX,DTW,1979,2022-01-30T22:00:00Z
12,-8,NK,N648NK,LAX,IAH,1379,2022-01-31T05:45:00Z
-11,-8,AA,N584UW,LAX,PHX,370,2022-01-31T06:05:00Z
8,-2,AA,N913US,LAX,CLT,2125,2022-01-31T07:15:00Z
208,212,OO,N134SY,LAX,AUS,1242,2022-01-31T08:20:00Z
-16,-5,OO,N118SY,LAX,BZN,902,2022-01-31T08:25:00Z
49,83,UA,N2534U,LAX,HNL,2556,2022-01-31T09:00:00Z
25,-11,AS,N495AS,LAX,EWR,2454,2022-01-31T10:20:00Z
4,-1,WN,N8805L,LAX,DAL,1246,2022-01-31T10:45:00Z
1,18,OO,N279SY,LAX,SJC,308,2022-01-31T12:00:00Z
-15,-5,B6,N593JB,LAX,SFO,337,2022-01-31T13:40:00Z
-17,-3,HA,N373HA,LAX,HNL,2556,2022-01-31T17:00:00Z
22,37,NK,N616NK,LAX,CMH,1995,2022-01-31T17:37:00Z
19,22,B6,N618JB,LAX,JAX,2153,2022-01-31T23:35:00Z
7,-1,WN,N237WN,LAX,SJC,308,2022-02-01T07:15:00Z
-14,-7,AA,N112AN,LAX,JFK,2475,2022-02-01T07:30:00Z
1569,1554,OO,N693BR,LAX,COS,833,2022-02-01T08:00:00Z
91,72,OO,N604SK,LAX,EGE,748,2022-02-01T09:32:00Z
-19,-3,OO,N262SY,LAX,LAS,236,2022-02-01T12:00:00Z
-17,-3,WN,N7883A,LAX,SJC,308,2022-02-01T12:05:00Z
-27,-3,UA,N64809,LAX,IAH,1379,2022-02-01T12:06:00Z
-25,-6,NK,N638NK,LAX,MSY,1670,2022-02-01T12:13:00Z
-14,-6,DL,N818DA,LAX,MCO,2218,2022-02-02T06:30:00Z
-1,-6,DL,N395DZ,LAX,SLC,590,2022-02-02T07:00:00Z
-13,-5,AA,N813AW,LAX,LAS,236,2022-02-02T08:21:00Z
-25,-9,NK,N929NK,LAX,MSY,1670,2022-02-02T11:15:00Z
-24,-8,B6,N978JB,LAX,JFK,2475,2022-02-02T12:41:00Z
-9,-1,WN,N7875A,LAX,OAK,337,2022-02-02T21:05:00Z
-6,-5,AA,N107NN,LAX,BOS,2611,2022-02-02T23:59:00Z
-6,-5,DL,N308DN,LAX,ATL,1947,2022-02-03T06:00:00Z
-16,-3,OO,N617UX,LAX,SAN,109,2022-02-03T09:00:00Z
-6,2,DL,N817DN,LAX,RDU,2239,2022-02-03T10:27:00Z
19,-5,UA,N79011,LAX,IAH,1379,2022-02-03T13:38:00Z
